,UF,codMun,AreaPrestacao
777,MG,3170701,Setor 2
778,MG,3170750,Setor 2
779,MG,3170800,Setor 2
780,MG,3170909,Setor 2
781,MG,3171030,Setor 2
782,MG,3171071,Setor 2
783,MG,3171105,Setor 2
784,MG,3171154,Setor 2
785,MG,3171204,Setor 2
786,MG,3171303,Setor 2
787,MG,3171402,Setor 2
788,MG,3171501,Setor 2
789,MG,3171600,Setor 2
790,MG,3171709,Setor 2
791,MG,3171808,Setor 2
792,MG,3171907,Setor 2
793,MG,3172004,Setor 2
794,MG,3172103,Setor 2
795,MG,3172202,Setor 2
796,MG,3103751,Setor 3
797,MG,3103900,Setor 3
798,MG,3111101,Setor 3
799,MG,3111408,Setor 3
800,MG,3111507,Setor 3
801,MG,3111804,Setor 3
802,MG,3112604,Setor 3
803,MG,3114303,Setor 3
804,MG,3114550,Setor 3
805,MG,3115805,Setor 3
806,MG,3116902,Setor 3
807,MG,3117306,Setor 3
808,MG,3119807,Setor 3
809,MG,3120706,Setor 3
810,MG,3121258,Setor 3
811,MG,3127107,Setor 3
812,MG,3129103,Setor 3
813,MG,3129707,Setor 3
814,MG,3130200,Setor 3
815,MG,3130309,Setor 3
816,MG,3130705,Setor 3
817,MG,3131406,Setor 3
818,MG,3133402,Setor 3
819,MG,3134202,Setor 3
820,MG,3134400,Setor 3
821,MG,3137106,Setor 3
822,MG,3137502,Setor 3
823,MG,3137536,Setor 3
824,MG,3138625,Setor 3
825,MG,3138807,Setor 3
826,MG,3139706,Setor 3
827,MG,3142403,Setor 3
828,MG,3142809,Setor 3
829,MG,3143203,Setor 3
830,MG,3145000,Setor 3
831,MG,3145208,Setor 3
832,MG,3146909,Setor 3
833,MG,3147105,Setor 3
834,MG,3148004,Setor 3
835,MG,3149200,Setor 3
836,MG,3149606,Setor 3
837,MG,3149705,Setor 3
838,MG,3150703,Setor 3
839,MG,3151404,Setor 3
840,MG,3151602,Setor 3
841,MG,3152808,Setor 3
842,MG,3153400,Setor 3
843,MG,3155504,Setor 3
844,MG,3157708,Setor 3
845,MG,3159803,Setor 3
846,MG,3161304,Setor 3
847,MG,3163102,Setor 3
848,MG,3169604,Setor 3
849,MG,3170107,Setor 3
850,MG,3170206,Setor 3
851,MG,3170438,Setor 3
852,MG,3171006,Setor 3
853,PR,4100103,Setor 19
854,PR,4100202,Setor 19
855,PR,4100301,Setor 19
856,PR,4100400,Setor 19
857,PR,4100459,Setor 19
858,PR,4100509,Setor 19
859,PR,4100608,Setor 19
860,PR,4100707,Setor 19
861,PR,4100806,Setor 19
862,PR,4100905,Setor 19
863,PR,4101002,Setor 19
864,PR,4101051,Setor 19
865,PR,4101101,Setor 19
866,PR,4101150,Setor 19
867,PR,4101200,Setor 19
868,PR,4101309,Setor 19
869,PR,4101408,Setor 19
870,PR,4101507,Setor 19
871,PR,4101606,Setor 19
872,PR,4101655,Setor 19
873,PR,4101705,Setor 19
874,PR,4101804,Setor 19
875,PR,4101853,Setor 19
876,PR,4101903,Setor 19
877,PR,4102000,Setor 19
878,PR,4102109,Setor 19
879,PR,4102208,Setor 19
880,PR,4102307,Setor 19
881,PR,4102406,Setor 19
882,PR,4102505,Setor 19
883,PR,4102604,Setor 19
884,PR,4102703,Setor 19
885,PR,4102752,Setor 19
886,PR,4102802,Setor 19
887,PR,4102901,Setor 19
888,PR,4103008,Setor 19
889,PR,4103024,Setor 19
890,PR,4103040,Setor 19
891,PR,4103057,Setor 19
892,PR,4103107,Setor 19
893,PR,4103156,Setor 19
894,PR,4103206,Setor 19
895,PR,4103222,Setor 19
896,PR,4103305,Setor 19
897,PR,4103354,Setor 19
898,PR,4103370,Setor 19
899,PR,4103404,Setor 19
900,PR,4103453,Setor 19
901,PR,4103479,Setor 19
902,PR,4103503,Setor 19
903,PR,4103602,Setor 19
904,PR,4103701,Setor 19
905,PR,4103800,Setor 19
906,PR,4103909,Setor 19
907,PR,4103958,Setor 19
908,PR,4104006,Setor 19
909,PR,4104055,Setor 19
910,PR,4104105,Setor 19
911,PR,4104204,Setor 19
912,PR,4104253,Setor 19
913,PR,4104303,Setor 19
914,PR,4104402,Setor 19
915,PR,4104428,Setor 19
916,PR,4104451,Setor 19
917,PR,4104501,Setor 19
918,PR,4104600,Setor 19
919,PR,4104659,Setor 19
920,PR,4104709,Setor 19
921,PR,4104808,Setor 19
922,PR,4104907,Setor 19
923,PR,4105003,Setor 19
924,PR,4105102,Setor 19
